000101,1
000102,25
000102,30
000102,31
000103,16
000103,20
000103,23
000103,42
000104,25
000104,39
000104,40
000105,112
000106,16
000106,43
000107,16
000107,35
000107,36
000107,47
000108,20
000108,42
000109,16
000109,22
000109,32
000110,16
000110,32
000111,16
000111,23
000112,16
000112,17
000201,16
000201,63
000201,72
000301,1
000302,25
000302,30
000302,31
000303,16
000303,23
000304,20
000304,42
000305,20
000305,42
000306,16
000306,32
000307,112
000308,16
000308,22
000309,25
000309,39
000310,34
000311,25
000311,39
000311,40
000312,34
000313,16
000313,23
000313,34
000314,16
000314,17
000315,16
000315,17
000316,16
000316,17
000317,16
000317,17
000318,16
000318,17
000319,16
000319,17
000320,16
000320,17
000321,16
000321,17
000322,16
000322,17
000323,112
000324,112
000325,16
000325,22
000326,34
000327,16
000327,63
000327,79
000328,16
000328,23
000329,68
000329,69
000330,16
000330,22
000330,32
000330,53
000330,79
000330,85
000401,16
000401,22
000401,32
000401,33
000501,16
000501,32
000501,43
000601,1
000601,2
000602,25
000602,30
000602,31
000602,39
000602,40
000603,25
000604,16
000605,112
000701,16
000701,43
000801,16
000801,43
000901,16
000901,63
000901,72
001001,1
001002,20
001002,25
001002,30
001002,31
001002,42
001003,25
001003,39
001003,40
001004,20
001004,45
001004,67
001004,99
001004,108
001005,16
001005,22
001005,53
001006,16
001006,22
001007,16
001007,22
001008,16
001008,22
001009,59
001010,16
001010,22
001011,16
001011,63
001011,79
001012,16
001012,43
001012,73
001013,16
001013,23
001014,16
001014,17
001015,20
001015,42
001016,25
001016,49
001017,16
001017,38
001018,16
001018,32
010101,16
010101,20
010101,47
010101,48
010201,1
010202,16
010202,22
010203,34
010204,25
010204,26
010205,16
010205,17
010206,20
010206,42
010207,25
010207,39
010207,40
010208,16
010208,70
010209,112
010210,16
010210,23
010211,16
010211,43
010211,73
010301,16
010301,22
010301,47
010301,53
010401,16
010401,22
010401,63
010401,72
010501,1
010502,34
010503,25
010503,39
010504,16
010504,38
010505,25
010505,39
010505,40
010506,16
010506,22
010506,47
010506,53
010507,16
010507,17
010508,16
010508,17
010509,16
010509,17
010510,16
010510,17
010511,25
010511,30
010511,31
010512,25
010512,39
010513,34
010514,16
010514,22
010515,89
010516,20
010516,25
010516,30
010516,31
010516,81
010517,16
010517,17
010601,1
010602,89
010603,20
010603,42
010603,81
010604,68
010604,69
010701,1
010701,2
010702,16
010702,23
010703,34
010704,16
010704,23
010705,20
010705,45
010706,20
010706,81
010707,20
010707,44
010708,25
010708,30
010709,112
010710,25
010710,39
010710,40
010711,16
010711,22
010712,20
010712,81
010713,16
010713,43
010714,16
010714,22
010715,16
010715,47
010716,16
010716,23
010716,89
010717,16
010717,38
010718,16
010718,23
010801,1
010802,16
010802,43
010901,1
010901,2
010902,16
010902,43
011001,20
011001,45
011101,1
011102,25
011102,30
011102,49
011102,83
011102,84
011103,16
011103,57
011104,16
011104,79
011105,25
011105,39
011105,40
011106,25
011106,39
011106,40
011107,25
011107,26
011108,25
011108,49
011109,16
011109,38
011110,25
011110,49
011111,16
011111,17
011112,16
011112,47
011112,79
011113,16
011113,17
011114,16
011114,17
011115,16
011115,38
011116,16
011116,17
011117,16
011117,20
011117,23
011117,42
011118,16
011118,17
011119,16
011119,38
011120,89
011121,16
011121,22
011121,53
011121,63
011121,72
020101,16
020101,63
020101,72
020201,1
020201,2
020202,25
020202,39
020202,40
020203,16
020203,17
020204,16
020204,17
020205,16
020205,63
020205,72
020206,25
020206,30
020206,31
020207,16
020207,73
020301,1
020302,25
020302,39
020302,40
020303,112
020304,112
020305,16
020305,20
020305,23
020305,42
020306,20
020306,42
020307,16
020307,23
020308,16
020308,23
020309,20
020309,42
020310,20
020310,25
020310,30
020310,31
020310,81
020311,16
020311,38
