1,1
1,2
16,16
16,22
16,23
16,32
16,35
16,38
16,43
16,47
16,52
16,53
16,56
16,57
16,63
16,66
16,70
16,79
16,80
16,85
16,114
20,20
20,42
20,44
20,45
20,46
20,48
20,61
20,67
20,75
20,81
20,88
20,96
20,101
20,102
20,104
20,105
20,110
20,128
25,25
25,26
25,30
25,39
25,49
25,78
25,83
25,84
30,31
32,33
34,34
35,36
35,60
39,40
43,65
43,73
43,95
43,122
45,98
45,99
45,108
50,50
50,54
50,115
51,51
59,59
61,62
61,94
63,17
63,64
63,72
63,76
68,68
68,69
78,111
78,112
89,89
90,90
91,91
93,93
97,97
105,129
113,82
113,103
113,113
116,116
116,117
116,118
119,119
119,120
121,121
123,123
124,124
124,125
124,126
127,127
