1,1962-07-10 00:00:00
2,1962-09-26 00:00:00
3,1963-01-11 00:00:00
4,1963-05-28 00:00:00
4,1963-05-29 00:00:00
5,1963-07-06 00:00:00
6,1963-10-24 00:00:00
7,1964-04-13 00:00:00
8,1964-05-10 00:00:00
9,1964-07-15 00:00:00
10,1964-08-19 00:00:00
11,1965-01-09 00:00:00
12,1965-02-07 00:00:00
13,1965-03-06 00:00:00
14,1965-04-16 00:00:00
15,1965-04-26 00:00:00
16,1965-07-15 00:00:00
17,1965-08-10 00:00:00
18,1965-09-23 00:00:00
19,1965-12-12 00:00:00
20,1966-04-12 00:00:00
21,1966-05-29 00:00:00
22,1966-06-16 00:00:00
23,1966-07-21 00:00:00
24,1966-09-08 00:00:00
25,1966-11-08 00:00:00
26,1967-02-11 00:00:00
27,1967-03-09 00:00:00
28,1967-03-25 00:00:00
29,1967-05-01 00:00:00
29,1967-05-02 00:00:00
30,1967-06-11 00:00:00
31,1967-06-29 00:00:00
32,1967-11-28 00:00:00
33,1968-01-18 00:00:00
34,1968-04-30 00:00:00
34,1968-05-03 00:00:00
35,1968-05-20 00:00:00
36,1968-07-10 00:00:00
37,1968-08-05 00:00:00
38,1968-09-18 00:00:00
39,1969-01-14 00:00:00
40,1969-02-22 00:00:00
40,1969-02-23 00:00:00
40,1969-02-24 00:00:00
41,1969-03-25 00:00:00
42,1969-04-15 00:00:00
43,1969-05-31 00:00:00
44,1969-07-05 00:00:00
45,1969-08-03 00:00:00
46,1969-08-31 00:00:00
47,1969-10-14 00:00:00
48,1969-10-29 00:00:00
49,1970-03-05 00:00:00
50,1970-05-11 00:00:00
51,1970-03-21 00:00:00
52,1970-06-06 00:00:00
53,1970-06-25 00:00:00
54,1970-07-20 00:00:00
55,1970-08-06 00:00:00
56,1970-09-02 00:00:00
57,1970-10-15 00:00:00
58,1972-02-01 00:00:00
59,1972-02-15 00:00:00
60,1972-03-07 00:00:00
61,1972-03-28 00:00:00
61,1972-03-30 00:00:00
62,1972-08-22 00:00:00
63,1972-10-18 00:00:00
63,1972-10-20 00:00:00
64,1973-01-11 00:00:00
65,1973-04-07 00:00:00
65,1973-04-18 00:00:00
65,1973-04-28 00:00:00
66,1973-05-07 00:00:00
67,1973-07-20 00:00:00
68,1973-08-06 00:00:00
69,1974-01-26 00:00:00
69,1974-01-29 00:00:00
69,1974-01-30 00:00:00
70,1974-02-28 00:00:00
71,1974-04-10 00:00:00
72,1974-06-06 00:00:00
73,1974-07-12 00:00:00
73,1978-07-16 00:00:00
74,1974-09-18 00:00:00
74,1974-09-20 00:00:00
75,1974-11-18 00:00:00
76,1975-01-13 00:00:00
77,1975-06-30 00:00:00
78,1975-08-03 00:00:00
79,1975-08-07 00:00:00
80,1975-09-02 00:00:00
81,1975-11-08 00:00:00
82,1976-02-26 00:00:00
83,1976-04-24 00:00:00
84,1976-05-08 00:00:00
85,1976-06-10 00:00:00
86,1976-06-25 00:00:00
87,1976-08-14 00:00:00
88,1976-10-16 00:00:00
89,1976-11-06 00:00:00
90,1977-01-07 00:00:00
91,1977-02-23 00:00:00
92,1977-04-08 00:00:00
93,1977-05-03 00:00:00
94,1977-05-23 00:00:00
95,1977-07-07 00:00:00
95,1977-07-16 00:00:00
96,1977-08-10 00:00:00
97,1977-10-11 00:00:00
98,1977-10-24 00:00:00
99,1977-11-01 00:00:00
100,1977-12-01 00:00:00
101,1977-12-13 00:00:00
102,1978-01-10 00:00:00
103,1978-03-04 00:00:00
104,1978-04-08 00:00:00
105,1978-07-20 00:00:00
106,1978-09-13 00:00:00
107,1978-11-25 00:00:00
108,1978-11-29 00:00:00
109,1978-12-20 00:00:00
110,1979-03-05 00:00:00
111,1979-03-16 00:00:00
112,1979-03-30 00:00:00
113,1979-04-16 00:00:00
114,1979-05-11 00:00:00
114,1979-05-14 00:00:00
