980302,12
980302,4
980302,14
980306,27
980308,19
980309,3
980315,4
980201,29
980201,4
060212,3
060204,13
060210,19
041202,21
041205,3
041205,13
041223,4
041226,3
041227,3
041228,2
041230,4
010603,21
010301,4
840703,27
840703,29
660504,4
660506,29
660402,27
660402,29
660403,27
660403,29
840102,31
840102,32
840609,11
850105,3
850105,13
850109,1
840610,15
660207,15
660208,4
660209,3
660102,12
660108,3
650902,4
650905,6
040416,21
011102,31
011102,32
011108,29
010704,1
950505,27
950607,28
950505,28
950507,19
991208,2
010703,32
010704,5
010711,13
010715,2
010716,11
010716,30
740604,27
070304,11
070306,2
070308,7
070219,3
070216,28
070214,1
070213,3
070211,2
070206,3
070205,8
070203,19
070103,2
070107,26
000328,12
000323,3
000321,15
000319,13
000317,2
000313,12
000303,2
970202,11
970206,13
080544,12
080541,3
080533,30
080530,5
080529,4
030410,3
030408,1
030124,26
020613,5
890614,13
890611,27
890611,29
890609,27
660607,6
890603,6
890603,30
890602,1
070408,8
660607,7
790402,3
070409,1
070405,4
070403,2
910411,11
950308,3
950310,7
950309,1
950307,29
950107,2
990907,6
950105,19
950105,14
990916,5
990908,13
990907,11
990907,4
990905,1
990905,14
720404,15
090135,11
090133,3
090132,11
090131,3
090123,3
090122,2
090122,4
090120,17
090110,4
090108,19
090106,15
090104,8
090102,14
920709,11
920709,8
920709,5
920709,2
920704,15
011001,28
050217,30
050207,1
050204,2
050203,19
050307,15
050306,2
050303,11
050105,11
050103,1
050403,5
050405,13
050406,5
050511,2
050512,2
050514,17
050520,19
050702,11
050703,4
050704,8
050705,17
050706,2
050708,2
050709,3
050710,17
050711,17
050712,2
050713,2
050803,1
050411,6
050502,12
050503,2
050504,2
050510,2
050808,1
050806,2
050804,5
060104,2
720407,27
720410,4
720411,29
720603,27
720603,29
730110,27
730209,3
730215,27
710103,4
710204,24
710207,14
710211,5
710217,27
710217,29
760803,27
760803,29
760804,3
760804,5
740203,13
730403,4
740402,13
930512,2
920323,7
820203,15
750104,29
690711,29
680607,27
060102,7
050401,1
050401,2
050401,4
050401,5
670201,3
670604,6
680302,4
680303,3
680309,29
680403,24
680505,14
690107,4
690120,15
690802,29
690808,15
690905,29
691001,4
700603,3
880308,19
820603,3
820603,13
820609,5
820609,11
820306,4
000103,27
810304,27
000103,11
000103,28
000107,3
000111,3
000112,30
900103,7
900103,8
900103,14
900103,30
900110,3
900110,31
900113,7
890708,2
890708,32
890709,29
890709,32
890710,30
890712,13
890714,7
890715,4
890715,29
890718,3
890718,31
890209,7
820508,8
820508,11
820508,27
820513,3
820513,8
770803,14
