12,28
13,28
16,28
17,29
20,24
21,22
23,23
25,16
26,22
27,24
28,18
30,25
34,20
36,23
39,15
46,20
42,19
44,19
47,20
49,14
52,28
59,21
61,26
97,18
100,17
102,23
105,22
107,19
111,23
115,0
113,8
114,8
119,16
120,0
124,0
126,0
140,0
145,15
153,0
155,0
157,0
162,0
163,0
165,0
1,29
5,25
2,25
6,29
8,27
10,22
11,26
14,29
15,37
18,27
19,22
22,20
24,21
29,16
31,16
32,25
33,24
35,18
37,25
38,23
40,22
41,24
43,16
45,19
48,21
50,18
51,26
53,14
54,20
55,17
56,19
57,18
58,20
60,18
62,29
64,19
65,20
67,22
68,21
69,14
71,19
72,21
74,17
76,24
112,21
7,26
3,26
4,26
9,24
63,18
66,21
70,17
73,18
75,24
77,18
78,24
79,22
80,17
81,17
82,16
83,20
84,20
85,22
86,13
87,19
88,25
89,20
90,20
91,16
92,26
93,19
94,24
95,15
96,29
98,20
99,17
101,22
103,20
104,32
106,21
108,19
109,19
110,18
118,18
121,0
122,0
123,0
125,5
127,0
128,0
129,0
130,0
131,0
132,0
133,0
137,5
135,0
138,0
136,0
139,0
141,0
142,0
143,0
144,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
154,0
156,0
158,26
159,0
160,0
161,0
164,0
166,0
167,0
168,0
169,0
171,0
173,0
175,0
176,0
177,0
178,0
180,0
181,0
170,0
172,0
174,0
179,0
182,0
183,0
184,0
185,0
186,18
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,29
202,0
205,0
203,0
204,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
224,0
225,0
227,0
